,Hütten-Name,Datum,Freie Betten,Hütten-ID
136,"Doldenhornhütte SAC, SAC Emmental",30.05.2022,36,11
137,"Doldenhornhütte SAC, SAC Emmental",31.05.2022,36,11
138,"Doldenhornhütte SAC, SAC Emmental",01.06.2022,36,11
139,"Doldenhornhütte SAC, SAC Emmental",02.06.2022,36,11
140,"Konkordiahütte SAC, SAC Grindelwald",20.05.2022,157,12
141,"Konkordiahütte SAC, SAC Grindelwald",21.05.2022,165,12
142,"Konkordiahütte SAC, SAC Grindelwald",22.05.2022,169,12
143,"Konkordiahütte SAC, SAC Grindelwald",23.05.2022,165,12
144,"Konkordiahütte SAC, SAC Grindelwald",24.05.2022,169,12
145,"Konkordiahütte SAC, SAC Grindelwald",25.05.2022,169,12
146,"Konkordiahütte SAC, SAC Grindelwald",26.05.2022,84,12
147,"Konkordiahütte SAC, SAC Grindelwald",27.05.2022,115,12
148,"Konkordiahütte SAC, SAC Grindelwald",28.05.2022,131,12
149,"Konkordiahütte SAC, SAC Grindelwald",29.05.2022,169,12
150,"Konkordiahütte SAC, SAC Grindelwald",30.05.2022,20,12
151,"Konkordiahütte SAC, SAC Grindelwald",31.05.2022,20,12
152,"Konkordiahütte SAC, SAC Grindelwald",01.06.2022,20,12
153,"Konkordiahütte SAC, SAC Grindelwald",02.06.2022,12,12
154,"Leglerhütte SAC, SAC Tödi",20.05.2022,0,13
155,"Leglerhütte SAC, SAC Tödi",21.05.2022,0,13
156,"Leglerhütte SAC, SAC Tödi",22.05.2022,0,13
157,"Leglerhütte SAC, SAC Tödi",23.05.2022,0,13
158,"Leglerhütte SAC, SAC Tödi",24.05.2022,0,13
159,"Leglerhütte SAC, SAC Tödi",25.05.2022,0,13
160,"Leglerhütte SAC, SAC Tödi",26.05.2022,0,13
161,"Leglerhütte SAC, SAC Tödi",27.05.2022,0,13
162,"Leglerhütte SAC, SAC Tödi",28.05.2022,0,13
163,"Leglerhütte SAC, SAC Tödi",29.05.2022,0,13
164,"Leglerhütte SAC, SAC Tödi",30.05.2022,0,13
165,"Leglerhütte SAC, SAC Tödi",31.05.2022,0,13
166,"Leglerhütte SAC, SAC Tödi",01.06.2022,0,13
167,"Leglerhütte SAC, SAC Tödi",02.06.2022,0,13
168,"Mutthornhütte SAC, SAC Weissenstein",20.05.2022,0,14
169,"Mutthornhütte SAC, SAC Weissenstein",21.05.2022,0,14
170,"Mutthornhütte SAC, SAC Weissenstein",22.05.2022,0,14
171,"Mutthornhütte SAC, SAC Weissenstein",23.05.2022,0,14
172,"Mutthornhütte SAC, SAC Weissenstein",24.05.2022,0,14
173,"Mutthornhütte SAC, SAC Weissenstein",25.05.2022,0,14
174,"Mutthornhütte SAC, SAC Weissenstein",26.05.2022,0,14
175,"Mutthornhütte SAC, SAC Weissenstein",27.05.2022,0,14
176,"Mutthornhütte SAC, SAC Weissenstein",28.05.2022,0,14
177,"Mutthornhütte SAC, SAC Weissenstein",29.05.2022,0,14
178,"Mutthornhütte SAC, SAC Weissenstein",30.05.2022,0,14
179,"Mutthornhütte SAC, SAC Weissenstein",31.05.2022,0,14
180,"Mutthornhütte SAC, SAC Weissenstein",01.06.2022,0,14
181,"Mutthornhütte SAC, SAC Weissenstein",02.06.2022,0,14
182,"Oberaarjochhütte SAC, SAC Biel",20.05.2022,0,15
183,"Oberaarjochhütte SAC, SAC Biel",21.05.2022,0,15
184,"Oberaarjochhütte SAC, SAC Biel",22.05.2022,0,15
185,"Oberaarjochhütte SAC, SAC Biel",23.05.2022,0,15
186,"Oberaarjochhütte SAC, SAC Biel",24.05.2022,0,15
187,"Oberaarjochhütte SAC, SAC Biel",25.05.2022,0,15
188,"Oberaarjochhütte SAC, SAC Biel",26.05.2022,0,15
189,"Oberaarjochhütte SAC, SAC Biel",27.05.2022,0,15
190,"Oberaarjochhütte SAC, SAC Biel",28.05.2022,0,15
191,"Oberaarjochhütte SAC, SAC Biel",29.05.2022,0,15
192,"Oberaarjochhütte SAC, SAC Biel",30.05.2022,0,15
193,"Oberaarjochhütte SAC, SAC Biel",31.05.2022,0,15
194,"Oberaarjochhütte SAC, SAC Biel",01.06.2022,0,15
195,"Oberaarjochhütte SAC, SAC Biel",02.06.2022,0,15
196,"Terrihütte SAC, SAC Piz Terri",20.05.2022,10,16
197,"Terrihütte SAC, SAC Piz Terri",21.05.2022,10,16
198,"Terrihütte SAC, SAC Piz Terri",22.05.2022,10,16
199,"Terrihütte SAC, SAC Piz Terri",23.05.2022,10,16
200,"Terrihütte SAC, SAC Piz Terri",24.05.2022,10,16
201,"Terrihütte SAC, SAC Piz Terri",25.05.2022,10,16
202,"Terrihütte SAC, SAC Piz Terri",26.05.2022,8,16
203,"Terrihütte SAC, SAC Piz Terri",27.05.2022,10,16
204,"Terrihütte SAC, SAC Piz Terri",28.05.2022,10,16
205,"Terrihütte SAC, SAC Piz Terri",29.05.2022,10,16
206,"Terrihütte SAC, SAC Piz Terri",30.05.2022,10,16
207,"Terrihütte SAC, SAC Piz Terri",31.05.2022,10,16
208,"Terrihütte SAC, SAC Piz Terri",01.06.2022,10,16
209,"Terrihütte SAC, SAC Piz Terri",02.06.2022,10,16
210,"Geltenhütte SAC, SAC Oldenhorn",20.05.2022,12,17
211,"Geltenhütte SAC, SAC Oldenhorn",21.05.2022,12,17
212,"Geltenhütte SAC, SAC Oldenhorn",22.05.2022,12,17
213,"Geltenhütte SAC, SAC Oldenhorn",23.05.2022,12,17
214,"Geltenhütte SAC, SAC Oldenhorn",24.05.2022,12,17
215,"Geltenhütte SAC, SAC Oldenhorn",25.05.2022,12,17
216,"Geltenhütte SAC, SAC Oldenhorn",26.05.2022,12,17
217,"Geltenhütte SAC, SAC Oldenhorn",27.05.2022,12,17
218,"Geltenhütte SAC, SAC Oldenhorn",28.05.2022,12,17
219,"Geltenhütte SAC, SAC Oldenhorn",29.05.2022,12,17
220,"Geltenhütte SAC, SAC Oldenhorn",30.05.2022,12,17
221,"Geltenhütte SAC, SAC Oldenhorn",31.05.2022,12,17
222,"Geltenhütte SAC, SAC Oldenhorn",01.06.2022,12,17
223,"Geltenhütte SAC, SAC Oldenhorn",02.06.2022,12,17
224,"Capanna del Forno CAS, SAC Rorschach",20.05.2022,0,18
225,"Capanna del Forno CAS, SAC Rorschach",21.05.2022,0,18
226,"Capanna del Forno CAS, SAC Rorschach",22.05.2022,0,18
227,"Capanna del Forno CAS, SAC Rorschach",23.05.2022,0,18
228,"Capanna del Forno CAS, SAC Rorschach",24.05.2022,0,18
229,"Capanna del Forno CAS, SAC Rorschach",25.05.2022,0,18
230,"Capanna del Forno CAS, SAC Rorschach",26.05.2022,0,18
231,"Capanna del Forno CAS, SAC Rorschach",27.05.2022,0,18
232,"Capanna del Forno CAS, SAC Rorschach",28.05.2022,0,18
233,"Capanna del Forno CAS, SAC Rorschach",29.05.2022,0,18
234,"Capanna del Forno CAS, SAC Rorschach",30.05.2022,0,18
235,"Capanna del Forno CAS, SAC Rorschach",31.05.2022,0,18
236,"Capanna del Forno CAS, SAC Rorschach",01.06.2022,0,18
237,"Capanna del Forno CAS, SAC Rorschach",02.06.2022,0,18
238,"Fründenhütte SAC, SAC Altels",20.05.2022,0,19
239,"Fründenhütte SAC, SAC Altels",21.05.2022,0,19
240,"Fründenhütte SAC, SAC Altels",22.05.2022,0,19
241,"Fründenhütte SAC, SAC Altels",23.05.2022,0,19
242,"Fründenhütte SAC, SAC Altels",24.05.2022,0,19
243,"Fründenhütte SAC, SAC Altels",25.05.2022,0,19
244,"Fründenhütte SAC, SAC Altels",26.05.2022,0,19
245,"Fründenhütte SAC, SAC Altels",27.05.2022,0,19
246,"Fründenhütte SAC, SAC Altels",28.05.2022,0,19
247,"Fründenhütte SAC, SAC Altels",29.05.2022,0,19
248,"Fründenhütte SAC, SAC Altels",30.05.2022,0,19
249,"Fründenhütte SAC, SAC Altels",31.05.2022,0,19
250,"Fründenhütte SAC, SAC Altels",01.06.2022,0,19
251,"Fründenhütte SAC, SAC Altels",02.06.2022,0,19
252,"Capanna Cristallina CAS, CAS Ticino",20.05.2022,0,20
253,"Capanna Cristallina CAS, CAS Ticino",21.05.2022,0,20
254,"Capanna Cristallina CAS, CAS Ticino",22.05.2022,0,20
255,"Capanna Cristallina CAS, CAS Ticino",23.05.2022,0,20
256,"Capanna Cristallina CAS, CAS Ticino",24.05.2022,0,20
257,"Capanna Cristallina CAS, CAS Ticino",25.05.2022,0,20
258,"Capanna Cristallina CAS, CAS Ticino",26.05.2022,0,20
259,"Capanna Cristallina CAS, CAS Ticino",27.05.2022,0,20
260,"Capanna Cristallina CAS, CAS Ticino",28.05.2022,0,20
261,"Capanna Cristallina CAS, CAS Ticino",29.05.2022,0,20
262,"Capanna Cristallina CAS, CAS Ticino",30.05.2022,0,20
263,"Capanna Cristallina CAS, CAS Ticino",31.05.2022,0,20
264,"Capanna Cristallina CAS, CAS Ticino",01.06.2022,0,20
265,"Capanna Cristallina CAS, CAS Ticino",02.06.2022,0,20
266,"Badushütte, SAC Manegg",20.05.2022,0,21
267,"Badushütte, SAC Manegg",21.05.2022,0,21
268,"Badushütte, SAC Manegg",22.05.2022,0,21
269,"Badushütte, SAC Manegg",23.05.2022,0,21
270,"Badushütte, SAC Manegg",24.05.2022,0,21
271,"Badushütte, SAC Manegg",25.05.2022,0,21
272,"Badushütte, SAC Manegg",26.05.2022,0,21
273,"Badushütte, SAC Manegg",27.05.2022,0,21
274,"Badushütte, SAC Manegg",28.05.2022,0,21
275,"Badushütte, SAC Manegg",29.05.2022,0,21
276,"Badushütte, SAC Manegg",30.05.2022,0,21
277,"Badushütte, SAC Manegg",31.05.2022,0,21
278,"Badushütte, SAC Manegg",01.06.2022,0,21
279,"Badushütte, SAC Manegg",02.06.2022,0,21
280,"Cabane des Diablerets CAS, CAS Jaman",20.05.2022,32,22
281,"Cabane des Diablerets CAS, CAS Jaman",21.05.2022,32,22
282,"Cabane des Diablerets CAS, CAS Jaman",22.05.2022,32,22
283,"Cabane des Diablerets CAS, CAS Jaman",23.05.2022,32,22
284,"Cabane des Diablerets CAS, CAS Jaman",24.05.2022,32,22
285,"Cabane des Diablerets CAS, CAS Jaman",25.05.2022,32,22
286,"Cabane des Diablerets CAS, CAS Jaman",26.05.2022,32,22
287,"Cabane des Diablerets CAS, CAS Jaman",27.05.2022,32,22
288,"Cabane des Diablerets CAS, CAS Jaman",28.05.2022,32,22
289,"Cabane des Diablerets CAS, CAS Jaman",29.05.2022,32,22
290,"Cabane des Diablerets CAS, CAS Jaman",30.05.2022,32,22
291,"Cabane des Diablerets CAS, CAS Jaman",31.05.2022,32,22
292,"Cabane des Diablerets CAS, CAS Jaman",01.06.2022,32,22
293,"Cabane des Diablerets CAS, CAS Jaman",02.06.2022,32,22
294,"Bächlitalhütte SAC, SAC Am Albis",20.05.2022,0,23
295,"Bächlitalhütte SAC, SAC Am Albis",21.05.2022,0,23
296,"Bächlitalhütte SAC, SAC Am Albis",22.05.2022,0,23
297,"Bächlitalhütte SAC, SAC Am Albis",23.05.2022,0,23
298,"Bächlitalhütte SAC, SAC Am Albis",24.05.2022,0,23
299,"Bächlitalhütte SAC, SAC Am Albis",25.05.2022,0,23
300,"Bächlitalhütte SAC, SAC Am Albis",26.05.2022,0,23
301,"Bächlitalhütte SAC, SAC Am Albis",27.05.2022,0,23
302,"Bächlitalhütte SAC, SAC Am Albis",28.05.2022,0,23
303,"Bächlitalhütte SAC, SAC Am Albis",29.05.2022,0,23
304,"Bächlitalhütte SAC, SAC Am Albis",30.05.2022,0,23
305,"Bächlitalhütte SAC, SAC Am Albis",31.05.2022,0,23
306,"Bächlitalhütte SAC, SAC Am Albis",01.06.2022,4,23
307,"Bächlitalhütte SAC, SAC Am Albis",02.06.2022,4,23
308,"Hohganthütte, SAC Emmental",20.05.2022,18,24
309,"Hohganthütte, SAC Emmental",21.05.2022,22,24
310,"Hohganthütte, SAC Emmental",22.05.2022,24,24
311,"Hohganthütte, SAC Emmental",23.05.2022,24,24
312,"Hohganthütte, SAC Emmental",24.05.2022,24,24
313,"Hohganthütte, SAC Emmental",25.05.2022,24,24
314,"Hohganthütte, SAC Emmental",26.05.2022,17,24
315,"Hohganthütte, SAC Emmental",27.05.2022,0,24
316,"Hohganthütte, SAC Emmental",28.05.2022,17,24
317,"Hohganthütte, SAC Emmental",29.05.2022,24,24
318,"Hohganthütte, SAC Emmental",30.05.2022,24,24
319,"Hohganthütte, SAC Emmental",31.05.2022,24,24
320,"Hohganthütte, SAC Emmental",01.06.2022,24,24
321,"Hohganthütte, SAC Emmental",02.06.2022,24,24
322,"Chamanna d'Es-cha CAS, SAC Bernina",20.05.2022,0,25
323,"Chamanna d'Es-cha CAS, SAC Bernina",21.05.2022,0,25
324,"Chamanna d'Es-cha CAS, SAC Bernina",22.05.2022,0,25
325,"Chamanna d'Es-cha CAS, SAC Bernina",23.05.2022,0,25
326,"Chamanna d'Es-cha CAS, SAC Bernina",24.05.2022,0,25
327,"Chamanna d'Es-cha CAS, SAC Bernina",25.05.2022,0,25
328,"Chamanna d'Es-cha CAS, SAC Bernina",26.05.2022,0,25
329,"Chamanna d'Es-cha CAS, SAC Bernina",27.05.2022,0,25
330,"Chamanna d'Es-cha CAS, SAC Bernina",28.05.2022,0,25
331,"Chamanna d'Es-cha CAS, SAC Bernina",29.05.2022,0,25
332,"Chamanna d'Es-cha CAS, SAC Bernina",30.05.2022,0,25
333,"Chamanna d'Es-cha CAS, SAC Bernina",31.05.2022,0,25
334,"Chamanna d'Es-cha CAS, SAC Bernina",01.06.2022,0,25
335,"Chamanna d'Es-cha CAS, SAC Bernina",02.06.2022,0,25
336,"Camona da Maighels CAS, SAC Piz Terri",20.05.2022,14,26
337,"Camona da Maighels CAS, SAC Piz Terri",21.05.2022,14,26
338,"Camona da Maighels CAS, SAC Piz Terri",22.05.2022,14,26
339,"Camona da Maighels CAS, SAC Piz Terri",23.05.2022,14,26
340,"Camona da Maighels CAS, SAC Piz Terri",24.05.2022,14,26
341,"Camona da Maighels CAS, SAC Piz Terri",25.05.2022,14,26
342,"Camona da Maighels CAS, SAC Piz Terri",26.05.2022,14,26
343,"Camona da Maighels CAS, SAC Piz Terri",27.05.2022,13,26
344,"Camona da Maighels CAS, SAC Piz Terri",28.05.2022,13,26
345,"Camona da Maighels CAS, SAC Piz Terri",29.05.2022,14,26
346,"Camona da Maighels CAS, SAC Piz Terri",30.05.2022,14,26
347,"Camona da Maighels CAS, SAC Piz Terri",31.05.2022,14,26
348,"Camona da Maighels CAS, SAC Piz Terri",01.06.2022,14,26
349,"Camona da Maighels CAS, SAC Piz Terri",02.06.2022,14,26
350,"Gaulihütte SAC, SAC Bern",20.05.2022,0,27
351,"Gaulihütte SAC, SAC Bern",21.05.2022,0,27
352,"Gaulihütte SAC, SAC Bern",22.05.2022,0,27
353,"Gaulihütte SAC, SAC Bern",23.05.2022,0,27
354,"Gaulihütte SAC, SAC Bern",24.05.2022,0,27
355,"Gaulihütte SAC, SAC Bern",25.05.2022,0,27
356,"Gaulihütte SAC, SAC Bern",26.05.2022,0,27
357,"Gaulihütte SAC, SAC Bern",27.05.2022,0,27
358,"Gaulihütte SAC, SAC Bern",28.05.2022,0,27
359,"Gaulihütte SAC, SAC Bern",29.05.2022,0,27
360,"Gaulihütte SAC, SAC Bern",30.05.2022,0,27
361,"Gaulihütte SAC, SAC Bern",31.05.2022,0,27
362,"Gaulihütte SAC, SAC Bern",01.06.2022,0,27
363,"Gaulihütte SAC, SAC Bern",02.06.2022,0,27
364,"Zwinglipasshütte, SAC Toggenburg",20.05.2022,35,30
365,"Zwinglipasshütte, SAC Toggenburg",21.05.2022,24,30
366,"Zwinglipasshütte, SAC Toggenburg",22.05.2022,0,30
367,"Zwinglipasshütte, SAC Toggenburg",23.05.2022,0,30
368,"Zwinglipasshütte, SAC Toggenburg",24.05.2022,0,30
369,"Zwinglipasshütte, SAC Toggenburg",25.05.2022,33,30
370,"Zwinglipasshütte, SAC Toggenburg",26.05.2022,1,30
371,"Zwinglipasshütte, SAC Toggenburg",27.05.2022,22,30
372,"Zwinglipasshütte, SAC Toggenburg",28.05.2022,11,30
373,"Zwinglipasshütte, SAC Toggenburg",29.05.2022,0,30
374,"Zwinglipasshütte, SAC Toggenburg",30.05.2022,0,30
375,"Zwinglipasshütte, SAC Toggenburg",31.05.2022,0,30
376,"Zwinglipasshütte, SAC Toggenburg",01.06.2022,0,30
377,"Zwinglipasshütte, SAC Toggenburg",02.06.2022,0,30
378,"Dossenhütte SAC, SAC Oberaargau",20.05.2022,0,31
379,"Dossenhütte SAC, SAC Oberaargau",21.05.2022,0,31
380,"Dossenhütte SAC, SAC Oberaargau",22.05.2022,0,31
381,"Dossenhütte SAC, SAC Oberaargau",23.05.2022,0,31
382,"Dossenhütte SAC, SAC Oberaargau",24.05.2022,0,31
